id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CDH1	12	1.0	1.0	1.0	522	0	1.2725	2.3318e-20	4.9535e-06	8.9e-05	1	12	1.2725
AGBL2	12	1.0	1.0	1.0	518	0	0.83637	6.2551e-14	4.9535e-06	8.9e-05	2	12	0.83637
SMAD7	12	1.0	1.0	1.0	521	0	0.85035	7.1059e-14	4.9535e-06	8.9e-05	3	12	0.85035
MYLIP	12	1.0	1.0	1.0	514	0	1.1301	3.6278e-13	4.9535e-06	8.9e-05	4	12	1.1301
DR1	12	1.0	1.0	1.0	519	0	0.75996	1.0622e-11	4.9535e-06	8.9e-05	5	12	0.75996
RBM14	9	1.0	1.0	1.0	516	0	1.1627	1.6142e-11	4.9535e-06	8.9e-05	6	9	1.1627
NAA38	12	0.99806	0.99986	1.0	474	0	0.92779	1.9721e-11	4.9535e-06	8.9e-05	7	11	0.92779
CCT6B	12	1.0	1.0	1.0	520	0	0.90476	3.9113e-11	4.9535e-06	8.9e-05	8	12	0.90476
HNF1A	12	0.99987	1.0	1.0	493	0	1.0816	1.2395e-10	4.9535e-06	8.9e-05	9	11	1.0816
TAF8	12	1.0	1.0	1.0	510	0	0.86392	3.8132e-10	4.9535e-06	8.9e-05	10	12	0.86392
ALG2	12	1.0	1.0	1.0	506	0	0.73903	1.1091e-09	4.9535e-06	8.9e-05	11	12	0.73903
FADS2	12	1.0	1.0	1.0	505	0	0.8305	1.3042e-09	4.9535e-06	8.9e-05	12	12	0.8305
DRAP1	12	1.0	1.0	1.0	517	0	0.8793	1.971e-09	4.9535e-06	8.9e-05	13	12	0.8793
ARPC5L	12	1.0	1.0	1.0	515	0	0.74149	2.8776e-08	4.9535e-06	8.9e-05	14	12	0.74149
STK40	12	1.0	1.0	1.0	513	0	0.53591	7.6947e-08	4.9535e-06	8.9e-05	15	12	0.53591
CDIPT	12	0.99407	0.99947	1.0	459	0	0.82604	1.0794e-07	4.9535e-06	8.9e-05	16	10	0.82604
