id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
LSS	12	1.0	1.0	1.0	520	0	0.99527	6.6352e-16	4.9535e-06	0.000108	1	12	0.99527
ONECUT1	12	1.0	1.0	1.0	522	0	0.873	2.5275e-13	4.9535e-06	0.000108	2	12	0.873
MYLIP	12	1.0	1.0	1.0	521	0	1.0712	3.0816e-13	4.9535e-06	0.000108	3	12	1.0712
GPAA1	12	1.0	1.0	1.0	516	0	0.66234	5.9502e-11	4.9535e-06	0.000108	4	12	0.66234
FARSB	9	1.0	1.0	1.0	519	0	1.023	1.6544e-10	4.9535e-06	0.000108	5	9	1.023
CHD7	12	1.0	1.0	1.0	517	0	0.84726	2.7993e-10	4.9535e-06	0.000108	6	12	0.84726
EIF4A1	9	0.99999	1.0	1.0	506	0	1.296	3.0764e-10	4.9535e-06	0.000108	7	9	1.296
EBP	12	0.99996	1.0	1.0	500	0	0.91322	3.4465e-10	4.9535e-06	0.000108	8	12	0.91322
LRPPRC	12	1.0	1.0	1.0	518	0	0.76286	1.3815e-09	4.9535e-06	0.000108	9	12	0.76286
DRAP1	12	0.99987	1.0	1.0	496	0	1.019	2.2367e-09	4.9535e-06	0.000108	10	11	1.019
SQLE	12	1.0	1.0	1.0	508	0	0.83198	4.5699e-09	4.9535e-06	0.000108	11	12	0.83198
HNF1A	12	1.0	1.0	1.0	515	0	1.0574	7.5112e-09	4.9535e-06	0.000108	12	12	1.0574
CDH1	12	1.0	1.0	1.0	514	0	0.58272	1.2957e-08	4.9535e-06	0.000108	13	12	0.58272
VPS29	12	0.99146	0.99799	1.0	462	0	0.74026	2.2009e-08	4.9535e-06	0.000108	14	10	0.74026
FARSA	9	1.0	1.0	1.0	513	0	1.3601	2.3182e-08	4.9535e-06	0.000108	15	9	1.3601
RBM14	9	0.99999	1.0	1.0	505	0	1.4099	2.3318e-08	4.9535e-06	0.000108	16	9	1.4099
DR1	12	1.0	1.0	1.0	510	0	0.7149	4.972e-08	4.9535e-06	0.000108	17	12	0.7149
ZBTB17	12	0.95446	0.98845	1.0	417	1	0.93649	6.5925e-08	4.9535e-06	0.000108	18	9	0.93649
ARPC5L	12	0.99895	0.99981	1.0	486	0	0.52447	6.8183e-08	4.9535e-06	0.000108	19	11	0.52447
CCDC93	9	0.99842	0.99974	1.0	482	0	0.94714	8.9675e-08	4.9535e-06	0.000108	20	8	0.94714
NDUFS3	9	0.99991	1.0	1.0	498	0	0.92771	9.2719e-08	4.9535e-06	0.000108	21	9	0.92771
PRDM10	12	0.99819	0.99972	1.0	480	0	0.72929	9.9447e-08	4.9535e-06	0.000108	22	11	0.72929
CCT6B	12	1.0	1.0	1.0	511	0	0.71796	1.8744e-07	4.9535e-06	0.000108	23	12	0.71796
TEF	12	0.99973	0.99999	1.0	490	0	0.72288	3.4025e-07	4.9535e-06	0.000108	24	10	0.72288
FADS2	12	0.9999	1.0	1.0	497	0	0.65783	4.7812e-07	2.4767e-05	0.000498	25	11	0.65783
MRPL33	12	1.0	1.0	1.0	512	0	0.72756	7.1144e-07	2.4767e-05	0.000498	26	12	0.72756
ALG2	12	0.99999	1.0	1.0	504	0	0.63301	1.394e-06	3.4674e-05	0.000672	27	12	0.63301
KAT7	12	1.0	1.0	1.0	509	0	0.70022	2.5088e-06	5.4488e-05	0.000983	28	12	0.70022
SOD1	12	0.96341	0.98946	1.0	429	1	0.82541	2.7136e-06	5.4488e-05	0.000983	29	10	0.82541
C16orf62	12	1.0	1.0	1.0	507	0	0.47383	3.1647e-06	6.4395e-05	0.001052	30	12	0.47383
SP5	12	0.99507	0.99921	1.0	468	0	0.4531	3.1807e-06	6.4395e-05	0.001052	31	10	0.4531
TAF8	12	0.93268	0.98476	1.0	404	1	0.63942	5.0941e-06	6.4395e-05	0.001052	32	11	0.63942
ARID1A	12	0.98784	0.99688	1.0	453	0	0.635	7.994e-06	7.4302e-05	0.001143	33	9	0.635
MRPL11	12	0.64052	0.934	1.0	291	1	0.69291	1.1046e-05	7.4302e-05	0.001143	34	10	0.69291
CERS6	12	0.9998	1.0	1.0	493	0	0.53934	1.2699e-05	0.00011393	0.001702	35	10	0.53934
RALGAPB	12	0.99998	1.0	1.0	503	0	0.65246	1.5289e-05	0.00012384	0.001799	36	12	0.65246
GNB2L1	12	0.9983	0.99972	1.0	481	0	0.6487	2.0295e-05	0.00017337	0.002451	37	11	0.6487
STRAP	12	0.99864	0.99973	1.0	483	0	0.60642	2.8427e-05	0.000213	0.002856	38	10	0.60642
NAA38	12	0.99997	1.0	1.0	502	0	0.37752	3.0065e-05	0.000213	0.002856	39	12	0.37752
PHB2	6	0.99996	1.0	1.0	501	0	1.1703	3.6692e-05	0.0003616	0.004613	40	6	1.1703
LAS1L	9	0.99983	0.99999	1.0	494	0	0.70002	4.1811e-05	0.0003517	0.004598	41	9	0.70002
DNLZ	12	0.99751	0.99964	1.0	477	0	0.47857	4.1823e-05	0.00042105	0.005121	42	11	0.47857
RC3H1	12	0.97616	0.99202	1.0	442	0	0.49789	5.1253e-05	0.00042105	0.005121	43	10	0.49789
SOX12	12	0.99764	0.9997	1.0	478	0	0.38804	7.0327e-05	0.00044086	0.00524	44	11	0.38804
MBOAT7	12	0.93025	0.98475	1.0	402	1	0.47861	7.738e-05	0.00053993	0.006275	45	10	0.47861
AGBL2	12	0.99887	0.99977	1.0	485	0	0.38851	9.0174e-05	0.00069844	0.007941	46	10	0.38851
IBA57	12	0.99973	0.99999	1.0	491	0	0.44634	0.00011568	0.0018278	0.019151	47	10	0.44634
TFRC	12	0.91555	0.98203	1.0	396	1	0.42695	0.00015341	0.0018576	0.019151	48	10	0.42695
