id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CDH1	12	1.0	1.0	1.0	520	0	1.6416	2.4587e-25	4.9535e-06	8.1e-05	1	12	1.6416
MYLIP	12	1.0	1.0	1.0	521	0	1.2227	7.4387e-19	4.9535e-06	8.1e-05	2	12	1.2227
CCT6B	12	1.0	1.0	1.0	522	0	1.1397	2.5149e-17	4.9535e-06	8.1e-05	3	12	1.1397
PRDM10	12	1.0	1.0	1.0	519	0	0.97425	1.6255e-11	4.9535e-06	8.1e-05	4	12	0.97425
GPAA1	12	1.0	1.0	1.0	518	0	0.87068	3.4761e-09	4.9535e-06	8.1e-05	5	12	0.87068
ALG2	12	1.0	1.0	1.0	510	0	0.7359	3.4878e-09	4.9535e-06	8.1e-05	6	12	0.7359
SP5	12	1.0	1.0	1.0	506	0	0.62698	6.1417e-09	4.9535e-06	8.1e-05	7	12	0.62698
ONECUT1	12	1.0	1.0	1.0	517	0	0.66003	8.1163e-09	4.9535e-06	8.1e-05	8	12	0.66003
RC3H1	12	1.0	1.0	1.0	516	0	0.49633	1.0708e-08	4.9535e-06	8.1e-05	9	12	0.49633
NR1H3	12	1.0	1.0	1.0	512	0	0.78446	1.7834e-08	4.9535e-06	8.1e-05	10	12	0.78446
CHD7	12	1.0	1.0	1.0	515	0	0.94309	1.9631e-08	4.9535e-06	8.1e-05	11	12	0.94309
AGBL2	12	0.9998	0.99999	1.0	491	0	0.53281	2.4145e-08	4.9535e-06	8.1e-05	12	11	0.53281
TAF8	12	0.99999	1.0	1.0	502	0	0.84471	3.2118e-08	4.9535e-06	8.1e-05	13	12	0.84471
NAA38	12	0.99996	1.0	1.0	497	0	0.86695	4.7346e-08	4.9535e-06	8.1e-05	14	12	0.86695
ZFP36L2	12	1.0	1.0	1.0	514	0	0.60868	9.4781e-08	4.9535e-06	8.1e-05	15	12	0.60868
TEF	12	0.96778	0.99643	1.0	427	0	0.72568	1.0794e-07	4.9535e-06	8.1e-05	16	9	0.72568
DR1	12	1.0	1.0	1.0	513	0	0.69422	1.1145e-07	4.9535e-06	8.1e-05	17	12	0.69422
PIGS	12	1.0	1.0	1.0	507	0	0.59281	1.1517e-07	4.9535e-06	8.1e-05	18	12	0.59281
EBP	12	1.0	1.0	1.0	511	0	0.76432	1.1667e-07	4.9535e-06	8.1e-05	19	12	0.76432
PEX6	12	0.98539	0.99861	1.0	453	0	0.71822	2.154e-07	4.9535e-06	8.1e-05	20	11	0.71822
LSS	12	0.99996	1.0	1.0	499	0	0.71113	2.4786e-07	4.9535e-06	8.1e-05	21	12	0.71113
STRAP	12	0.90502	0.98951	1.0	373	1	0.7511	6.9912e-07	4.9535e-06	8.1e-05	22	9	0.7511
MGAT1	12	1.0	1.0	1.0	505	0	0.66499	7.3743e-07	4.9535e-06	8.1e-05	23	12	0.66499
RBM14	9	0.99457	0.9989	1.0	471	0	0.85037	9.3285e-07	4.9535e-06	8.1e-05	24	8	0.85037
DRAP1	12	1.0	1.0	1.0	504	0	0.84373	1.3756e-06	4.9535e-06	8.1e-05	25	12	0.84373
MRPL33	12	0.99919	0.99989	1.0	484	0	0.92437	1.4415e-06	4.9535e-06	8.1e-05	26	11	0.92437
EIF4A1	9	1.0	1.0	1.0	509	0	0.57868	1.5682e-06	1.486e-05	0.000236	27	9	0.57868
ARPC5L	12	1.0	1.0	1.0	508	0	0.54767	1.5817e-06	4.9535e-06	8.1e-05	28	12	0.54767
LRPPRC	12	0.99726	0.99975	1.0	477	0	0.81307	3.736e-06	4.9535e-06	8.1e-05	29	10	0.81307
PBRM1	12	0.93299	0.993	1.0	386	1	0.56381	4.1881e-06	4.9535e-06	8.1e-05	30	10	0.56381
KAT7	12	0.98945	0.99913	1.0	460	0	0.65403	4.4141e-06	4.9535e-06	8.1e-05	31	10	0.65403
ARID1A	12	0.98467	0.9985	1.0	451	0	0.78077	4.6288e-06	4.9535e-06	8.1e-05	32	10	0.78077
CCDC22	12	0.99999	1.0	1.0	503	0	0.46692	5.6731e-06	4.9535e-06	8.1e-05	33	12	0.46692
NDUFS3	9	0.99996	1.0	1.0	500	0	0.77466	1.8227e-05	2.4767e-05	0.000381	34	9	0.77466
MRPL11	12	0.91843	0.99076	1.0	380	1	0.6912	2.6728e-05	8.4209e-05	0.001129	35	11	0.6912
SIX4	12	0.99955	0.99992	1.0	486	0	0.55014	2.6881e-05	8.4209e-05	0.001129	36	11	0.55014
SMARCC1	12	0.99405	0.99957	1.0	469	0	0.62298	2.7377e-05	8.4209e-05	0.001129	37	11	0.62298
PGAP3	12	0.99997	1.0	1.0	501	0	0.41308	3.0953e-05	9.4116e-05	0.001231	38	12	0.41308
EIF3G	9	0.99996	1.0	1.0	498	0	0.44639	3.9509e-05	8.4209e-05	0.001129	39	9	0.44639
CCDC93	9	0.95177	0.9914	1.0	407	0	0.92396	4.5198e-05	8.4209e-05	0.001129	40	8	0.92396
SMAD7	12	0.99972	0.99998	1.0	488	0	0.38803	5.1554e-05	0.00011393	0.001419	41	11	0.38803
IBA57	12	0.99994	1.0	1.0	496	0	0.43772	5.5457e-05	0.00011393	0.001419	42	12	0.43772
VEZF1	12	0.99964	0.99996	1.0	487	0	0.59528	6.6934e-05	0.00012384	0.001506	43	11	0.59528
PET117	12	0.99778	0.99977	1.0	479	0	0.54694	8.3014e-05	0.00013374	0.001554	44	10	0.54694
CCDC101	12	0.99976	0.99998	1.0	490	0	0.62157	9.1645e-05	0.00013374	0.001554	45	11	0.62157
ATG4D	12	0.99989	1.0	1.0	495	0	0.37828	0.0001112	0.00014365	0.001599	46	12	0.37828
RPUSD4	12	0.99989	1.0	1.0	494	0	0.6588	0.000113	0.00014365	0.001599	47	12	0.6588
STK11	12	0.99986	0.99999	1.0	493	0	0.38918	0.00014012	0.00019319	0.002105	48	12	0.38918
PDCD10	12	0.98029	0.99816	1.0	447	0	0.66079	0.00020604	0.0003616	0.003782	49	11	0.66079
WDR82	12	0.93869	0.99411	1.0	390	1	0.63527	0.0002078	0.0003616	0.003782	50	11	0.63527
SOD1	12	0.80973	0.98682	1.0	346	1	0.6065	0.0002341	0.00039133	0.004013	51	9	0.6065
IRF9	12	0.99503	0.99967	1.0	474	0	0.37095	0.00026075	0.00058946	0.005929	52	11	0.37095
CERS6	12	0.99742	0.99975	1.0	478	0	0.5146	0.00028821	0.00061919	0.00611	53	9	0.5146
STK40	12	0.98589	0.99883	1.0	455	0	0.40334	0.00029916	0.00066872	0.006359	54	10	0.40334
DNLZ	12	0.51153	0.94505	1.0	233	3	0.51176	0.00029974	0.00066872	0.006359	55	9	0.51176
BARX1	12	0.99816	0.99978	1.0	481	0	0.42558	0.00050404	0.00088667	0.008281	56	10	0.42558
OTX1	12	0.91956	0.99108	1.0	381	1	0.39604	0.0005403	0.00090649	0.008317	57	10	0.39604
SQLE	12	0.99975	0.99998	1.0	489	0	0.47383	0.00055569	0.00096593	0.00871	58	11	0.47383
