id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYLIP	12	1.0	1.0	1.0	522	0	0.95446	3.8806e-18	4.9535e-06	0.000144	1	12	0.95446
CDH1	12	1.0	1.0	1.0	521	0	0.73238	7.6241e-15	4.9535e-06	0.000144	2	12	0.73238
ONECUT1	12	1.0	1.0	1.0	520	0	0.80706	2.557e-14	4.9535e-06	0.000144	3	12	0.80706
ALG2	12	1.0	1.0	1.0	518	0	0.9109	1.464e-13	4.9535e-06	0.000144	4	12	0.9109
PRDM10	12	1.0	1.0	1.0	514	0	0.76754	4.7009e-12	4.9535e-06	0.000144	5	12	0.76754
IGF2R	12	1.0	1.0	1.0	519	0	0.72257	6.3042e-12	4.9535e-06	0.000144	6	12	0.72257
LSS	12	0.98261	0.99335	1.0	449	1	0.74276	3.0319e-11	4.9535e-06	0.000144	7	11	0.74276
DR1	12	0.99984	0.99998	1.0	501	0	0.56858	1.2196e-10	4.9535e-06	0.000144	8	11	0.56858
EBP	12	0.96069	0.98985	1.0	432	1	0.62393	1.9286e-10	4.9535e-06	0.000144	9	10	0.62393
SQLE	12	1.0	1.0	1.0	516	0	0.67399	5.0628e-10	4.9535e-06	0.000144	10	12	0.67399
VEZF1	12	0.99687	0.99872	1.0	480	0	0.59202	8.9144e-10	4.9535e-06	0.000144	11	11	0.59202
DRAP1	12	1.0	1.0	1.0	517	0	0.64679	1.0137e-08	4.9535e-06	0.000144	12	12	0.64679
ARID1A	12	0.99728	0.99879	1.0	484	0	0.65505	1.1511e-08	4.9535e-06	0.000144	13	10	0.65505
SP5	12	1.0	1.0	1.0	511	0	0.45532	1.8232e-08	4.9535e-06	0.000144	14	12	0.45532
SMAD7	12	0.9994	0.99965	1.0	493	0	0.36942	2.0471e-07	4.9535e-06	0.000144	15	11	0.36942
HNF1A	12	1.0	1.0	1.0	513	0	0.79756	2.9461e-07	4.9535e-06	0.000144	16	12	0.79756
CDKN2A-AS1	12	1.0	1.0	1.0	515	0	0.23594	3.0141e-07	4.9535e-06	0.000144	17	12	0.23594
MTF1	12	0.98372	0.99335	1.0	451	1	0.49679	1.0302e-06	4.9535e-06	0.000144	18	10	0.49679
STK11	12	1.0	1.0	1.0	512	0	0.36182	1.2114e-06	1.486e-05	0.00037	19	12	0.36182
CCT6B	12	0.99999	1.0	1.0	509	0	0.38736	1.245e-06	1.486e-05	0.00037	20	11	0.38736
AGBL2	12	0.99992	0.99999	1.0	502	0	0.3152	2.1076e-06	1.486e-05	0.00037	21	11	0.3152
PDCD10	12	0.99981	0.99997	1.0	500	0	0.6396	2.4472e-06	2.4767e-05	0.000589	22	11	0.6396
FRY	12	1.0	1.0	1.0	510	0	0.36819	3.9117e-06	3.4674e-05	0.000756	23	12	0.36819
TFRC	12	0.99874	0.99929	1.0	489	0	0.34998	4.6546e-06	3.4674e-05	0.000756	24	11	0.34998
WDR82	12	0.90567	0.97789	1.0	411	1	0.35327	4.9027e-06	4.4581e-05	0.000864	25	10	0.35327
STK40	12	0.99955	0.99981	1.0	495	0	0.37954	5.2923e-06	4.4581e-05	0.000864	26	10	0.37954
RBM14	9	0.99992	0.99983	1.0	503	0	0.77327	6.0067e-06	4.4581e-05	0.000864	27	9	0.77327
PIGS	12	0.99955	0.99981	1.0	494	0	0.3135	8.9238e-06	6.4395e-05	0.001161	28	11	0.3135
NR1H3	12	0.99815	0.99918	1.0	488	0	0.55714	9.0874e-06	6.4395e-05	0.001161	29	9	0.55714
SOX12	12	0.99922	0.99957	1.0	492	0	0.59251	1.9067e-05	0.00019319	0.003368	30	11	0.59251
PPP1R10	12	0.99995	1.0	1.0	505	0	0.46589	3.1678e-05	0.00037151	0.006268	31	10	0.46589
SUMO2	12	0.86757	0.97051	1.0	389	1	0.39505	3.6676e-05	0.00040123	0.006558	32	10	0.39505
TEF	12	0.99996	1.0	1.0	506	0	0.35529	4.7543e-05	0.00055974	0.008364	33	9	0.35529
WDHD1	12	0.97259	0.99194	1.0	438	1	0.41825	4.7837e-05	0.00055974	0.008364	34	10	0.41825
DDX28	12	0.99963	0.99984	1.0	498	0	0.24075	5.1554e-05	0.00055974	0.008364	35	11	0.24075
