id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SP5	12	1.0	1.0	1.0	517	0	1.1202	8.3926e-17	4.9535e-06	0.000136	1	12	1.1202
SMAD7	12	1.0	1.0	1.0	522	0	0.85297	1.2764e-13	4.9535e-06	0.000136	2	12	0.85297
CDH1	12	1.0	1.0	1.0	521	0	1.1581	1.2661e-12	4.9535e-06	0.000136	3	12	1.1581
ALG2	12	0.99992	0.99997	1.0	510	0	0.76302	1.0826e-10	4.9535e-06	0.000136	4	11	0.76302
PDCD10	12	0.99628	0.99768	1.0	491	0	1.2903	3.7555e-10	4.9535e-06	0.000136	5	11	1.2903
ONECUT1	12	1.0	1.0	1.0	520	0	0.72467	6.1427e-10	4.9535e-06	0.000136	6	12	0.72467
AGBL2	12	1.0	1.0	1.0	518	0	0.70201	6.4921e-09	4.9535e-06	0.000136	7	12	0.70201
RBM14	9	0.99999	1.0	1.0	515	0	1.3376	7.844e-09	4.9535e-06	0.000136	8	9	1.3376
STK40	12	1.0	1.0	1.0	519	0	0.49175	1.9701e-08	4.9535e-06	0.000136	9	12	0.49175
PBRM1	12	0.99994	0.99998	1.0	512	0	0.82465	1.4569e-07	4.9535e-06	0.000136	10	11	0.82465
SMARCA4	12	0.99997	0.99998	1.0	513	0	1.1591	2.017e-07	4.9535e-06	0.000136	11	11	1.1591
ZNF281	12	0.99797	0.99894	1.0	499	0	1.11	3.0624e-07	4.9535e-06	0.000136	12	11	1.11
CERS6	12	1.0	1.0	1.0	516	0	0.85036	3.1452e-07	4.9535e-06	0.000136	13	12	0.85036
ZC3H4	12	0.99783	0.9988	1.0	496	0	0.94189	7.6168e-07	4.9535e-06	0.000136	14	8	0.94189
CCNI2	12	0.99992	0.99997	1.0	511	0	0.51346	1.4438e-06	4.9535e-06	0.000136	15	11	0.51346
USP22	12	0.99998	0.99999	1.0	514	0	0.62974	4.5788e-06	4.9535e-06	0.000136	16	12	0.62974
DDX28	12	0.99556	0.99755	1.0	490	0	0.77631	6.5295e-06	4.9535e-06	0.000136	17	11	0.77631
ARID1A	12	0.97631	0.98501	1.0	460	1	0.73133	7.3101e-06	4.9535e-06	0.000136	18	11	0.73133
SMARCE1	12	0.97467	0.985	1.0	458	1	0.89115	1.2021e-05	4.9535e-06	0.000136	19	10	0.89115
MLLT1	12	0.97988	0.98781	1.0	468	1	0.42219	1.6049e-05	1.486e-05	0.000389	20	11	0.42219
DRAP1	12	0.99934	0.9998	1.0	507	0	0.77966	2.231e-05	4.4581e-05	0.00111	21	11	0.77966
MPDU1	12	0.84157	0.94187	1.0	404	2	0.64918	3.5285e-05	5.4488e-05	0.001295	22	7	0.64918
LSS	12	0.99061	0.99369	1.0	482	0	0.61819	4.968e-05	7.4302e-05	0.00169	23	9	0.61819
ATG4D	12	0.99991	0.99997	1.0	509	0	0.5109	9.3599e-05	0.00010402	0.002176	24	10	0.5109
EBP	12	0.9076	0.96819	1.0	431	1	0.44593	0.00010056	0.00010402	0.002176	25	10	0.44593
NDUFS3	9	0.99988	0.99995	1.0	508	0	0.51558	0.00012012	0.00014365	0.00289	26	9	0.51558
ARPC5L	12	0.99898	0.99964	1.0	503	0	0.54521	0.00020919	0.00026253	0.005085	27	10	0.54521
FRY	12	0.96905	0.98336	1.0	451	1	0.35645	0.00025386	0.00032198	0.006014	28	10	0.35645
LRPPRC	12	0.99906	0.99971	1.0	504	0	0.59829	0.00038915	0.00041114	0.007415	29	10	0.59829
ACAD11	12	0.0043402	0.025099	0.273478	48	8	-0.23936	0.00043538	0.00043095	0.007513	30	3	-0.23936
ETV4	12	0.99769	0.99879	1.0	494	0	0.46137	0.00046405	0.00048049	0.008106	31	10	0.46137
IRF2BP2	12	0.98626	0.99068	1.0	474	1	0.52914	0.00049448	0.00052012	0.008501	32	9	0.52914
NAA38	12	0.99772	0.99879	1.0	495	0	0.48937	0.00054618	0.00056965	0.009028	33	8	0.48937
DR1	12	0.95588	0.98009	1.0	446	1	0.45959	0.00055205	0.00058946	0.009067	34	10	0.45959
SMARCC1	12	0.66133	0.87496	1.0	338	1	0.52646	0.00061331	0.00066872	0.009859	35	9	0.52646
UQCC1	12	0.98757	0.99069	1.0	476	1	0.37706	0.00062998	0.00067863	0.009859	36	10	0.37706
CDIPT	12	0.86698	0.95287	1.0	411	1	0.47779	0.00066124	0.00070835	0.010013	37	10	0.47779
RPUSD4	12	0.97977	0.9878	1.0	467	1	0.56499	0.00084693	0.00086686	0.011852	38	8	0.56499
EPHA2	12	0.92376	0.97266	1.0	437	2	0.36013	0.00092817	0.00088667	0.011852	39	10	0.36013
RAB10	12	0.08114	0.28269	1.0	108	6	-0.22262	0.00094166	0.00090649	0.011852	40	4	-0.22262
ZNF219	12	0.97069	0.98337	1.0	453	1	0.38887	0.0010693	0.0011641	0.014849	41	9	0.38887
MGAT1	12	0.9984	0.99908	1.0	501	0	0.51301	0.0011702	0.0013325	0.016327	42	10	0.51301
DNLZ	12	0.95995	0.98117	1.0	447	1	0.4312	0.0012118	0.0013424	0.016327	43	9	0.4312
BCAT2	12	0.88787	0.96227	1.0	422	2	0.38886	0.0013239	0.0016396	0.019489	44	9	0.38886
IREB2	12	0.97841	0.98717	1.0	463	1	0.39086	0.0014295	0.0019269	0.022395	45	9	0.39086
YTHDC1	12	0.98615	0.99068	1.0	472	1	0.74365	0.0015426	0.0021548	0.024499	46	8	0.74365
SOX12	12	0.95523	0.97953	1.0	445	1	0.48724	0.001623	0.0022538	0.024881	47	10	0.48724
CAB39	12	0.94285	0.97588	1.0	443	1	0.60527	0.0017043	0.0022836	0.024881	48	9	0.60527
TAF8	12	0.32536	0.64661	1.0	213	1	0.52717	0.0022548	0.003086	0.032939	49	9	0.52717
NR1H3	12	0.99515	0.99711	1.0	487	0	0.27857	0.0023621	0.0031554	0.032968	50	9	0.27857
STK11	12	0.84501	0.94496	1.0	406	1	0.29567	0.0024231	0.0032148	0.032968	51	9	0.29567
C21orf59	12	0.99005	0.99296	1.0	479	0	0.40858	0.0030372	0.0035417	0.035622	52	7	0.40858
CHD7	12	0.91652	0.97213	1.0	435	2	0.39122	0.0031161	0.0037498	0.037003	53	9	0.39122
SMARCA1	12	0.80197	0.93032	1.0	391	1	0.49167	0.003499	0.0047009	0.045198	54	9	0.49167
CCDC93	9	0.99865	0.99941	1.0	502	0	0.41009	0.0035832	0.0055727	0.049398	55	8	0.41009
TEF	12	0.8282	0.93963	1.0	401	1	0.54719	0.0037222	0.00479	0.045198	56	9	0.54719
TAOK1	12	0.70711	0.89809	1.0	353	1	0.30884	0.0038343	0.0048396	0.045198	57	7	0.30884
DYNLL1	12	0.86787	0.95288	1.0	412	1	0.52965	0.0038931	0.0050476	0.046314	58	9	0.52965
MYLIP	12	0.9901	0.99296	1.0	480	0	0.37155	0.0040869	0.0052259	0.047123	59	9	0.37155
COA6	12	0.99549	0.99743	1.0	489	0	0.35337	0.0050595	0.0058897	0.051339	60	9	0.35337
SLC25A40	12	0.81333	0.93509	1.0	394	2	0.21714	0.0065745	0.0080593	0.068569	61	6	0.21714
DNAJB14	12	0.16955	0.47112	1.0	152	4	0.47374	0.0065944	0.0081287	0.068569	62	8	0.47374
DMRTA2	12	0.99375	0.99556	1.0	485	0	0.23615	0.0070708	0.0083466	0.069151	63	9	0.23615
PIGS	12	0.99793	0.99894	1.0	498	0	0.40945	0.0073564	0.0085844	0.069151	64	8	0.40945
SURF1	12	0.11346	0.35906	1.0	128	4	0.10162	0.0075667	0.0085943	0.069151	65	5	0.10162
MYNN	12	0.59778	0.85141	1.0	319	1	0.34118	0.0079657	0.010249	0.080686	66	9	0.34118
VEZF1	12	0.91335	0.97165	1.0	434	2	0.19856	0.0082539	0.010645	0.080686	67	7	0.19856
CREG2	12	0.91677	0.97213	1.0	436	2	0.31118	0.00827	0.010645	0.080686	68	8	0.31118
GPAA1	12	0.57514	0.84756	1.0	312	1	0.3209	0.0082797	0.010645	0.080686	69	9	0.3209
ZNF410	12	0.98691	0.99069	1.0	475	1	0.31774	0.0084969	0.011755	0.087824	70	7	0.31774
CCDC115	12	0.85439	0.94718	1.0	408	2	0.40837	0.0085628	0.011953	0.088046	71	9	0.40837
CLEC3B	12	0.60669	0.85142	1.0	321	2	0.19834	0.0090811	0.012953	0.094092	72	9	0.19834
SLC35F5	12	0.33463	0.64662	1.0	219	4	0.30638	0.0093369	0.013488	0.096636	73	8	0.30638
RFX7	12	0.72186	0.90177	1.0	363	2	0.28482	0.011491	0.018254	0.129009	74	9	0.28482
FAM110D	12	0.62477	0.85924	1.0	326	2	0.26909	0.01206	0.019244	0.131962	75	9	0.26909
ARPC4	12	0.68094	0.88733	1.0	344	3	0.3272	0.012252	0.019859	0.131962	76	7	0.3272
SIX4	12	0.90348	0.96571	1.0	429	1	0.27992	0.012501	0.019868	0.131962	77	9	0.27992
SALL2	12	0.97454	0.985	1.0	457	1	0.36184	0.01287	0.019987	0.131962	78	8	0.36184
CITED2	12	0.61587	0.85499	1.0	323	2	0.28663	0.013059	0.019987	0.131962	79	8	0.28663
PPP1R10	12	0.21848	0.52493	1.0	172	3	0.11166	0.013898	0.020185	0.131962	80	6	0.11166
KAT8	9	0.53372	0.78915	1.0	296	2	0.58703	0.014172	0.020582	0.132892	81	5	0.58703
HNF1A	12	0.9823	0.98891	1.0	471	1	0.47923	0.014278	0.021196	0.135189	82	8	0.47923
CCDC43	12	0.93394	0.97429	1.0	441	1	0.34504	0.014657	0.021612	0.135528	83	9	0.34504
ZBTB17	12	0.51963	0.80805	1.0	291	2	0.3491	0.014785	0.022147	0.135528	84	9	0.3491
COPS3	12	0.97727	0.98658	1.0	461	1	0.25259	0.014957	0.022157	0.135528	85	9	0.25259
ZFP36L1	12	0.85526	0.94719	1.0	409	1	0.30571	0.015219	0.022286	0.135528	86	9	0.30571
MRPL33	12	0.81501	0.93642	1.0	395	2	0.37552	0.015665	0.022732	0.136651	87	7	0.37552
ITIH1	12	0.35816	0.66156	1.0	224	4	-0.11801	0.016841	0.026546	0.156966	88	5	-0.11801
C9orf163	12	0.97287	0.98444	1.0	456	1	0.32068	0.01705	0.026714	0.156966	89	6	0.32068
GET4	12	2.9339e-10	4.9535e-06	0.00013	14	11	-0.68445	0.017753	0.027011	0.156966	90	1	-0.68445
USP32P2	12	0.74827	0.91458	1.0	373	2	0.31688	0.019414	0.028973	0.165831	91	6	0.31688
PGAP3	12	0.38208	0.67868	1.0	235	3	0.34435	0.020241	0.029478	0.165831	92	7	0.34435
FARSB	9	0.53144	0.78915	1.0	295	2	0.52772	0.020787	0.032222	0.171963	93	5	0.52772
WDR82	12	0.54492	0.8268	1.0	302	3	0.35743	0.020904	0.029488	0.165831	94	8	0.35743
GPBP1L1	12	0.47971	0.75636	1.0	269	3	0.20937	0.02148	0.030102	0.166867	95	6	0.20937
ELF4	12	0.60266	0.85142	1.0	320	2	0.29601	0.021989	0.03031	0.166867	96	8	0.29601
CEBPA	12	0.88515	0.96145	1.0	419	1	0.34781	0.024039	0.031905	0.171963	97	7	0.34781
LOC646471	12	0.99025	0.99296	1.0	481	0	0.37151	0.024569	0.031915	0.171963	98	8	0.37151
TMEM138	12	0.32202	0.63974	1.0	212	3	0.22319	0.026401	0.037057	0.195766	99	8	0.22319
CPSF4	12	0.51954	0.80805	1.0	290	3	0.21777	0.027077	0.039851	0.204384	100	6	0.21777
SPAG7	12	0.32913	0.64661	1.0	218	2	0.28147	0.02813	0.039861	0.204384	101	8	0.28147
PACRGL	12	0.96127	0.98229	1.0	448	1	0.38277	0.028144	0.039861	0.204384	102	8	0.38277
RALGAPB	12	0.99536	0.99733	1.0	488	0	0.36315	0.029389	0.040544	0.205871	103	8	0.36315
TBC1D29	12	0.89898	0.96503	1.0	427	2	0.33313	0.029916	0.041674	0.209571	104	7	0.33313
EPB41	12	0.99809	0.99894	1.0	500	0	0.27379	0.030598	0.043001	0.214187	105	8	0.27379
PRDM10	12	0.90248	0.9657	1.0	428	1	0.25304	0.032362	0.046568	0.227616	106	8	0.25304
NFYC	12	0.97888	0.98717	1.0	464	1	0.28443	0.032541	0.046568	0.227616	107	6	0.28443
ACAT2	12	0.66063	0.87496	1.0	337	2	0.21918	0.032967	0.047073	0.227955	108	8	0.21918
RPS25	12	0.73725	0.91027	1.0	371	2	0.43995	0.033706	0.048658	0.23347	109	7	0.43995
LOC100506990	9	0.93466	0.95419	1.0	442	1	0.55345	0.033913	0.049589	0.235775	110	6	0.55345
AGPAT4	12	0.91032	0.9704	1.0	433	1	0.27456	0.036484	0.052403	0.246908	111	8	0.27456
SRGAP2	12	0.241	0.55505	1.0	180	5	0.17109	0.03902	0.057703	0.269453	112	6	0.17109
RRBP1	12	0.68466	0.89057	1.0	346	1	0.21258	0.039943	0.059477	0.275276	113	7	0.21258
IBA57	12	0.88631	0.96145	1.0	421	1	0.30957	0.041645	0.062954	0.288815	114	8	0.30957
CCDC101	12	0.85897	0.94847	1.0	410	2	0.14782	0.041954	0.063786	0.290088	115	5	0.14782
CSDE1	12	0.4309	0.72274	1.0	249	3	0.31278	0.042167	0.065173	0.29384	116	8	0.31278
NCOA3	12	0.8223	0.93962	1.0	398	1	0.28275	0.042695	0.0666	0.297706	117	8	0.28275
SOD1	12	0.9814	0.98891	1.0	470	1	0.38895	0.043981	0.068799	0.304931	118	8	0.38895
ATF4	12	0.98095	0.98832	1.0	469	1	0.24111	0.047073	0.074902	0.32919	119	8	0.24111
KDM6A	12	0.77309	0.91697	1.0	380	2	0.29319	0.048712	0.076943	0.332349	120	8	0.29319
COPS2	12	0.70862	0.89809	1.0	354	2	0.25916	0.050419	0.077527	0.332349	121	7	0.25916
ZNF468	12	0.77103	0.91697	1.0	378	2	0.25022	0.050671	0.077527	0.332349	122	8	0.25022
SETD1A	12	0.50981	0.79013	1.0	283	4	0.036331	0.052573	0.082669	0.347917	123	6	0.036331
PEX6	12	0.79831	0.92904	1.0	388	1	0.26136	0.052689	0.082679	0.347917	124	8	0.26136
ADAP1	12	0.99401	0.99587	1.0	486	0	0.30445	0.052889	0.083154	0.347917	125	7	0.30445
TP53	12	0.99208	0.99475	1.0	483	0	0.1734	0.055213	0.086998	0.361111	126	8	0.1734
EML2	12	0.57686	0.84757	1.0	313	1	0.27846	0.057615	0.094646	0.383721	127	7	0.27846
H1F0	12	0.99268	0.99475	1.0	484	0	0.21826	0.058093	0.094646	0.383721	128	8	0.21826
PRR3	12	0.99695	0.99835	1.0	492	0	0.20697	0.059845	0.096539	0.388382	129	8	0.20697
UBA2	12	0.38457	0.68134	1.0	236	3	0.31334	0.061215	0.09854	0.390426	130	6	0.31334
CPSF7	12	0.87251	0.95559	1.0	414	2	0.057483	0.061324	0.09854	0.390426	131	4	0.057483
AKAP9	12	0.40431	0.69483	1.0	242	4	0.16615	0.063202	0.1033	0.404976	132	6	0.16615
TMEM253	12	0.4723	0.75015	1.0	267	4	0.26626	0.063674	0.10376	0.404976	133	7	0.26626
UCKL1-AS1	6	0.81756	0.86094	1.0	396	1	0.31674	0.07195	0.091961	0.378708	134	4	0.31674
NFYA	12	0.68367	0.89057	1.0	345	1	0.42033	0.076878	0.11613	0.449914	135	7	0.42033
EEF1D	12	0.3989	0.69482	1.0	238	1	0.027654	0.079145	0.11869	0.456435	136	4	0.027654
MIR100HG	12	0.88542	0.96145	1.0	420	2	0.17	0.080262	0.12591	0.473795	137	6	0.17
STRAP	12	0.99933	0.99978	1.0	506	0	0.29927	0.080677	0.12591	0.473795	138	7	0.29927
YY1	12	0.35378	0.65686	1.0	222	4	0.36261	0.082853	0.12592	0.473795	139	7	0.36261
ZKSCAN8	12	0.88452	0.96144	1.0	418	2	0.24298	0.085069	0.13189	0.492691	140	7	0.24298
ACTR3	12	0.67632	0.88732	1.0	341	3	0.15562	0.088625	0.13543	0.495362	141	6	0.15562
AP1G1	12	0.35889	0.66157	1.0	225	4	-0.013499	0.091963	0.13544	0.495362	142	5	-0.013499
BPTF	12	0.99717	0.99846	1.0	493	0	0.20199	0.092567	0.13544	0.495362	143	7	0.20199
VOPP1	12	0.82403	0.93962	1.0	399	1	0.21374	0.093536	0.13766	0.499982	144	7	0.21374
PSORS1C3	12	0.51674	0.79731	1.0	287	3	-0.13395	0.096272	0.13984	0.504395	145	3	-0.13395
STX4	12	0.14532	0.40988	1.0	144	5	0.20875	0.097987	0.14221	0.509411	146	6	0.20875
PKLR	12	0.51367	0.79014	1.0	286	4	0.0908	0.099624	0.14318	0.509411	147	5	0.0908
EIF4A1	9	0.79542	0.90693	1.0	386	1	0.11533	0.10154	0.14843	0.524524	148	3	0.11533
ZNF207	9	0.43329	0.70914	1.0	250	3	-0.057522	0.10377	0.15114	0.52696	149	3	-0.057522
HOXD13	12	0.25995	0.56806	1.0	188	4	0.19366	0.10555	0.1503	0.52696	150	6	0.19366
ST3GAL4	12	0.22897	0.54204	1.0	175	5	0.17659	0.10775	0.15725	0.544642	151	6	0.17659
ZNF131	9	0.80154	0.9114	1.0	390	1	-0.033344	0.1125	0.16096	0.553842	152	4	-0.033344
POC5	12	0.9503	0.97692	1.0	444	1	0.18829	0.11289	0.1666	0.569491	153	6	0.18829
POMGNT2	12	0.76069	0.91696	1.0	377	2	0.16008	0.1163	0.17234	0.575212	154	6	0.16008
SP2-AS1	12	0.25179	0.56292	1.0	183	5	-0.081511	0.11663	0.17234	0.575212	155	4	-0.081511
NR5A1	12	0.67907	0.88733	1.0	343	2	0.19689	0.11802	0.17235	0.575212	156	7	0.19689
PIKFYVE	12	0.97259	0.98444	1.0	455	1	0.051416	0.11834	0.17376	0.575212	157	6	0.051416
TIPARP	12	0.89135	0.96315	1.0	424	2	0.24969	0.11883	0.17377	0.575212	158	7	0.24969
CHP1	12	0.7456	0.91307	1.0	372	3	0.053234	0.12276	0.17556	0.57746	159	3	0.053234
FBXL8	12	0.70207	0.89591	1.0	350	2	0.19455	0.12461	0.18561	0.60672	160	7	0.19455
PSMD12	12	0.50642	0.78394	1.0	282	4	0.10559	0.12717	0.19507	0.633685	161	6	0.10559
YJEFN3	12	0.6533	0.87219	1.0	334	3	0.13193	0.13127	0.19877	0.633909	162	5	0.13193
CYB5D1	12	0.87992	0.9601	1.0	417	2	0.17586	0.13348	0.19878	0.633909	163	6	0.17586
PHF20	12	0.098461	0.306	1.0	119	6	-0.19117	0.13498	0.19878	0.633909	164	4	-0.19117
TNFRSF4	12	0.97756	0.98716	1.0	462	1	0.05909	0.13807	0.20623	0.653682	165	5	0.05909
FLAD1	12	0.71186	0.89914	1.0	357	3	0.24851	0.1426	0.21166	0.662431	166	7	0.24851
IGF2R	12	0.8275	0.93963	1.0	400	2	0.17652	0.14482	0.21283	0.662431	167	6	0.17652
ABCG5	12	0.49265	0.76825	1.0	274	3	0.20536	0.1451	0.21406	0.662431	168	6	0.20536
CUL5	12	0.64271	0.86919	1.0	332	3	0.16739	0.14574	0.21406	0.662431	169	7	0.16739
TOP1	12	0.26264	0.56807	1.0	189	3	0.10682	0.15215	0.22201	0.671194	170	5	0.10682
TIGD5	12	0.45757	0.74619	1.0	262	4	0.1643	0.15223	0.22201	0.671194	171	6	0.1643
GNB2L1	12	0.85268	0.94628	1.0	407	2	0.25652	0.15251	0.22202	0.671194	172	6	0.25652
