id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SMAD7	12	1.0	1.0	1.0	522	0	1.0945	8.8847e-15	4.9535e-06	0.000199	1	12	1.0945
SP5	12	0.98797	0.99271	1.0	474	1	0.9596	2.7056e-13	4.9535e-06	0.000199	2	11	0.9596
PDCD10	12	0.66315	0.8859	1.0	357	2	1.5655	2.2714e-12	4.9535e-06	0.000199	3	10	1.5655
PBRM1	12	0.99967	0.99993	1.0	509	0	1.2409	3.6007e-11	4.9535e-06	0.000199	4	11	1.2409
CDH1	12	0.98979	0.99346	1.0	479	1	1.2397	6.6593e-11	4.9535e-06	0.000199	5	11	1.2397
SMARCA4	12	1.0	1.0	1.0	521	0	1.5016	9.4742e-10	4.9535e-06	0.000199	6	12	1.5016
AGBL2	12	0.99988	0.99999	1.0	514	0	0.53341	3.4773e-07	4.9535e-06	0.000199	7	11	0.53341
TEF	12	0.99352	0.99506	1.0	487	0	0.84536	7.0115e-07	4.9535e-06	0.000199	8	10	0.84536
DR1	12	0.99983	0.99998	1.0	511	0	0.86629	1.5918e-06	4.9535e-06	0.000199	9	11	0.86629
DDX28	12	0.78258	0.93462	1.0	397	1	0.88438	1.9047e-06	4.9535e-06	0.000199	10	9	0.88438
ARID1A	12	0.99997	1.0	1.0	517	0	0.9186	2.3079e-06	4.9535e-06	0.000199	11	11	0.9186
LRPPRC	12	0.98145	0.99122	1.0	467	1	0.84059	4.7058e-06	4.9535e-06	0.000199	12	9	0.84059
RBM14	9	0.99992	0.99997	1.0	515	0	1.0389	4.729e-06	1.486e-05	0.000457	13	9	1.0389
CERS6	12	0.87999	0.96241	1.0	423	1	0.88694	5.9517e-06	4.9535e-06	0.000199	14	10	0.88694
DRAP1	12	0.74338	0.91759	1.0	381	1	0.80172	7.3397e-06	1.486e-05	0.000457	15	11	0.80172
SMARCC1	12	0.99998	1.0	1.0	519	0	0.96242	8.258e-06	1.486e-05	0.000457	16	11	0.96242
ALG2	12	0.99726	0.99819	1.0	498	0	0.58541	8.7423e-06	1.486e-05	0.000457	17	11	0.58541
ZFP36L1	12	0.99999	1.0	1.0	520	0	0.61006	1.2905e-05	2.4767e-05	0.00072	18	12	0.61006
RPUSD4	12	0.99899	0.9995	1.0	505	0	0.7724	1.8326e-05	0.00012384	0.003409	19	11	0.7724
ZC3H4	12	0.99476	0.99683	1.0	491	0	0.86901	2.3437e-05	0.00019319	0.005052	20	10	0.86901
STK40	12	0.99984	0.99998	1.0	512	0	0.61949	3.1625e-05	0.00020309	0.005058	21	10	0.61949
NAA38	12	0.90286	0.96955	1.0	430	2	0.80033	8.4917e-05	0.001174	0.024412	22	10	0.80033
IRF2BP2	12	0.99933	0.99971	1.0	506	0	0.58881	9.0228e-05	0.0011938	0.024412	23	10	0.58881
ARPC5L	12	0.74702	0.92004	1.0	382	2	0.71216	9.2271e-05	0.0011938	0.024412	24	7	0.71216
ONECUT1	12	0.99992	0.99999	1.0	516	0	0.51852	9.7461e-05	0.0012037	0.024412	25	11	0.51852
SOX12	12	0.99998	1.0	1.0	518	0	0.55243	0.0001096	0.0012136	0.024412	26	11	0.55243
SURF1	12	0.61619	0.86361	1.0	342	1	0.68168	0.00026525	0.0014415	0.02748	27	9	0.68168
MYLIP	12	0.99772	0.99886	1.0	501	0	0.60836	0.00028422	0.0014712	0.02748	28	10	0.60836
RALGAPB	12	0.96231	0.98611	1.0	453	1	0.73261	0.00053479	0.002135	0.038503	29	9	0.73261
EPHA2	12	0.63027	0.87724	1.0	349	2	0.46128	0.00066659	0.003304	0.05448	30	8	0.46128
PRDM10	12	0.99344	0.99505	1.0	486	0	0.44956	0.00070938	0.0033733	0.05448	31	9	0.44956
MRPL11	12	0.87533	0.96184	1.0	422	2	0.80942	0.00078082	0.0034229	0.05448	32	10	0.80942
KAT7	12	0.96291	0.98611	1.0	455	1	0.59935	0.00082369	0.0034922	0.05448	33	8	0.59935
RXRB	12	0.83519	0.95169	1.0	412	1	0.16647	0.00094166	0.0035417	0.05448	34	6	0.16647
ZNF281	12	0.99654	0.99763	1.0	494	0	0.54654	0.0010238	0.0037696	0.056329	35	8	0.54654
ZNF219	12	0.99874	0.99949	1.0	503	0	0.3662	0.001494	0.0063751	0.092617	36	10	0.3662
CPSF7	12	0.49997	0.79993	1.0	295	2	0.38237	0.0020637	0.007564	0.104786	37	9	0.38237
SMARCE1	12	0.99985	0.99998	1.0	513	0	0.57644	0.0020845	0.0076135	0.104786	38	9	0.57644
MGAT1	12	0.99733	0.99836	1.0	499	0	0.49181	0.002811	0.0081089	0.106671	39	7	0.49181
MRPL33	12	0.98674	0.99241	1.0	471	1	0.59017	0.002834	0.0081584	0.106671	40	8	0.59017
RRBP1	12	0.9996	0.99992	1.0	508	0	0.46995	0.0030349	0.011477	0.142994	41	9	0.46995
ACAD11	12	0.10558	0.38309	1.0	120	6	-0.011667	0.0032118	0.011566	0.142994	42	6	-0.011667
PDE1A	12	0.32008	0.63942	1.0	230	3	0.42457	0.0037585	0.012042	0.142994	43	6	0.42457
ZC3H18	12	0.91564	0.9733	1.0	433	2	0.15311	0.004089	0.0123	0.142994	44	5	0.15311
USP22	12	0.69213	0.89862	1.0	363	3	0.40241	0.0043175	0.012567	0.142994	45	8	0.40241
SCAMP2	12	0.79769	0.94003	1.0	400	3	0.39404	0.0043953	0.012577	0.142994	46	8	0.39404
FRY	12	0.98899	0.99272	1.0	477	1	0.37257	0.005655	0.015876	0.173629	47	9	0.37257
ATG4D	12	0.99693	0.99776	1.0	497	0	0.3504	0.0057873	0.015935	0.173629	48	7	0.3504
BCAT2	12	0.988	0.99271	1.0	475	1	0.43847	0.0063247	0.017392	0.181917	49	9	0.43847
NDUFS3	9	0.59559	0.82018	1.0	336	1	0.7205	0.0068806	0.016877	0.180131	50	7	0.7205
IREB2	12	0.5609	0.83512	1.0	324	3	0.35111	0.0076262	0.019215	0.195457	51	8	0.35111
BACH1	12	0.51233	0.80777	1.0	302	4	0.25774	0.0080591	0.020007	0.195457	52	7	0.25774
MLLT1	12	0.99879	0.99949	1.0	504	0	0.37644	0.0084632	0.020017	0.195457	53	8	0.37644
IBA57	12	0.98977	0.99346	1.0	478	1	0.34957	0.0087559	0.020195	0.195457	54	8	0.34957
HARBI1	12	0.9599	0.9861	1.0	452	1	0.31834	0.008879	0.020621	0.195457	55	8	0.31834
HIST1H2BC	12	0.80047	0.94419	1.0	402	1	0.26431	0.0092401	0.020928	0.195457	56	9	0.26431
LSS	12	0.99421	0.99588	1.0	490	0	0.36564	0.0099292	0.022385	0.204136	57	8	0.36564
WWP1	12	0.40712	0.72706	1.0	258	2	0.42031	0.010158	0.02294	0.204136	58	8	0.42031
PGAP3	12	0.41868	0.73768	1.0	264	3	0.30131	0.010188	0.023029	0.204136	59	8	0.30131
THOP1	12	0.84017	0.9524	1.0	414	2	0.42537	0.011725	0.030915	0.269473	60	8	0.42537
CREG2	12	0.62862	0.87724	1.0	346	3	0.36069	0.012354	0.065758	0.528407	61	7	0.36069
PIGS	12	0.96304	0.98611	1.0	456	1	0.37401	0.012397	0.069185	0.528407	62	8	0.37401
SIRT5	12	0.99671	0.99775	1.0	495	0	0.081154	0.013968	0.075149	0.528407	63	4	0.081154
CCNI2	12	0.99784	0.99889	1.0	502	0	0.29989	0.01422	0.075397	0.528407	64	7	0.29989
ARPC4	12	0.55602	0.83511	1.0	322	2	0.49877	0.014787	0.075674	0.528407	65	8	0.49877
SLC29A2	12	0.62279	0.86984	1.0	344	2	0.29757	0.014794	0.075674	0.528407	66	6	0.29757
SQLE	12	0.78304	0.93462	1.0	398	1	0.38986	0.01493	0.075684	0.528407	67	8	0.38986
WDHD1	12	0.083876	0.31644	1.0	108	4	0.60768	0.014959	0.075684	0.528407	68	7	0.60768
RFX8	12	0.8827	0.96462	1.0	424	2	0.50289	0.016965	0.079607	0.528407	69	7	0.50289
AGPAT4	12	0.21012	0.54227	1.0	172	3	0.38658	0.017967	0.079885	0.528407	70	7	0.38658
RPS25	12	0.44779	0.75239	1.0	273	2	0.38559	0.018758	0.079895	0.528407	71	8	0.38559
SUSD5	12	0.34288	0.66291	1.0	241	2	0.36009	0.018825	0.079895	0.528407	72	7	0.36009
CDIPT	12	0.9808	0.99122	1.0	465	1	0.18551	0.01909	0.079895	0.528407	73	6	0.18551
ZNF217	12	0.63787	0.87823	1.0	350	2	-0.040175	0.019605	0.08042	0.528407	74	3	-0.040175
MTA2	12	0.97853	0.99121	1.0	463	1	0.16446	0.02007	0.081163	0.528407	75	6	0.16446
