id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
NAA38	12	1.0	1.0	1.0	522	0	1.4793	1.1414e-20	4.9535e-06	0.000185	1	12	1.4793
SMAD7	12	1.0	1.0	1.0	521	0	0.62339	3.0896e-15	4.9535e-06	0.000185	2	12	0.62339
AGBL2	12	1.0	1.0	1.0	516	0	0.714	9.3774e-15	4.9535e-06	0.000185	3	12	0.714
CDH1	12	1.0	1.0	1.0	517	0	1.0028	1.5006e-13	4.9535e-06	0.000185	4	12	1.0028
ARPC5L	12	1.0	1.0	1.0	520	0	0.93222	6.8756e-13	4.9535e-06	0.000185	5	12	0.93222
FADS2	12	1.0	1.0	1.0	519	0	0.97824	1.0287e-11	4.9535e-06	0.000185	6	12	0.97824
PROX1	12	1.0	1.0	1.0	515	0	0.9445	1.5149e-11	4.9535e-06	0.000185	7	12	0.9445
DR1	12	1.0	1.0	1.0	518	0	0.65178	6.6292e-11	4.9535e-06	0.000185	8	12	0.65178
STK40	12	1.0	1.0	1.0	512	0	0.62303	1.2811e-09	4.9535e-06	0.000185	9	12	0.62303
MTF1	12	0.99981	0.99994	1.0	499	0	0.73066	1.1949e-08	4.9535e-06	0.000185	10	11	0.73066
SMARCC1	12	1.0	1.0	1.0	511	0	0.70652	4.9815e-08	4.9535e-06	0.000185	11	12	0.70652
DRAP1	12	1.0	1.0	1.0	513	0	0.64556	9.1882e-08	4.9535e-06	0.000185	12	12	0.64556
ALG2	12	1.0	1.0	1.0	514	0	0.64309	1.0648e-07	4.9535e-06	0.000185	13	12	0.64309
RRBP1	12	0.93362	0.98854	1.0	429	1	0.61282	4.2352e-07	4.9535e-06	0.000185	14	10	0.61282
ARID1A	12	0.99999	1.0	1.0	509	0	0.65932	6.5765e-07	1.486e-05	0.000457	15	12	0.65932
