id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CDH1	12	1.0	1.0	1.0	522	0	1.4025	3.2382e-27	4.9535e-06	9.3e-05	1	12	1.4025
DRAP1	12	1.0	1.0	1.0	521	0	1.0623	2.0598e-12	4.9535e-06	9.3e-05	2	12	1.0623
DR1	12	0.99967	1.0	1.0	507	0	0.82167	3.9441e-10	4.9535e-06	9.3e-05	3	11	0.82167
STRAP	12	0.99929	0.99999	1.0	505	0	0.8605	3.9617e-10	4.9535e-06	9.3e-05	4	10	0.8605
AGBL2	12	1.0	1.0	1.0	520	0	0.61824	1.2586e-09	4.9535e-06	9.3e-05	5	12	0.61824
ARID1A	12	0.99996	1.0	1.0	515	0	0.87622	5.8079e-09	4.9535e-06	9.3e-05	6	12	0.87622
PDCD10	12	0.99996	1.0	1.0	514	0	0.98589	7.5112e-09	4.9535e-06	9.3e-05	7	12	0.98589
CCT6B	12	0.99775	0.99985	1.0	498	0	0.73521	1.4293e-08	4.9535e-06	9.3e-05	8	11	0.73521
SMAD7	12	0.99991	1.0	1.0	512	0	0.50774	1.7655e-07	4.9535e-06	9.3e-05	9	11	0.50774
ALG2	12	1.0	1.0	1.0	519	0	0.51352	3.8115e-07	4.9535e-06	9.3e-05	10	12	0.51352
EIF4A1	9	0.99998	1.0	1.0	516	0	0.7434	1.0072e-06	4.9535e-06	9.3e-05	11	9	0.7434
MPDU1	12	0.99437	0.99944	1.0	488	0	0.55831	1.1424e-06	4.9535e-06	9.3e-05	12	10	0.55831
ONECUT1	12	0.99899	0.99996	1.0	502	0	0.53498	1.665e-06	4.9535e-06	9.3e-05	13	11	0.53498
ZC3H4	12	0.99327	0.99918	1.0	484	0	0.67303	2.0979e-06	4.9535e-06	9.3e-05	14	10	0.67303
TEF	12	1.0	1.0	1.0	518	0	0.7001	3.7686e-06	4.9535e-06	9.3e-05	15	12	0.7001
CERS6	12	0.99482	0.99956	1.0	489	0	0.63085	5.7364e-06	4.9535e-06	9.3e-05	16	9	0.63085
NAA38	12	0.99999	1.0	1.0	517	0	0.70975	8.5171e-06	4.9535e-06	9.3e-05	17	12	0.70975
MYLIP	12	0.99968	1.0	1.0	508	0	0.5661	1.6272e-05	4.9535e-06	9.3e-05	18	11	0.5661
PRDM10	12	0.24656	0.75385	1.0	166	1	0.51827	1.6717e-05	4.9535e-06	9.3e-05	19	11	0.51827
WDR18	12	0.9991	0.99997	1.0	503	0	0.64993	1.7254e-05	4.9535e-06	9.3e-05	20	10	0.64993
NDUFS3	9	0.94313	0.987	1.0	425	0	0.81106	1.7679e-05	4.9535e-06	9.3e-05	21	8	0.81106
CCDC93	9	0.96012	0.98958	1.0	439	0	0.81422	2.0022e-05	4.9535e-06	9.3e-05	22	8	0.81422
AGPAT4	12	0.99972	1.0	1.0	509	0	0.61764	2.8456e-05	4.9535e-06	9.3e-05	23	11	0.61764
GPAA1	12	0.98683	0.99772	1.0	476	0	0.52088	3.0736e-05	4.9535e-06	9.3e-05	24	11	0.52088
MRPL33	12	0.99992	1.0	1.0	513	0	0.64459	5.9289e-05	4.9535e-06	9.3e-05	25	12	0.64459
MBNL1	12	0.72551	0.94766	1.0	347	1	0.57501	6.2894e-05	4.9535e-06	9.3e-05	26	11	0.57501
DNLZ	12	0.86757	0.97755	1.0	402	1	0.56369	9.4659e-05	4.9535e-06	9.3e-05	27	10	0.56369
RBM14	9	0.95365	0.98843	1.0	433	0	0.89307	0.00011375	1.486e-05	0.000251	28	7	0.89307
EBP	12	0.92851	0.98242	1.0	416	1	0.38043	0.00012076	4.9535e-06	9.3e-05	29	10	0.38043
KAT7	12	0.94063	0.98535	1.0	423	1	0.53715	0.0001436	1.486e-05	0.000251	30	11	0.53715
CHD7	12	0.99832	0.9999	1.0	500	0	0.6165	0.00016006	1.486e-05	0.000251	31	11	0.6165
