Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,20,0.4069,77.31,1.530e+04,0.005013,1.00000,"A1BG ACR ANHX C8orf33 CHAMP1 MZF1 PARD6G PCMTD2 PGBD2 RABL2B SLC27A5 ZBTB45 ZNF10 ZNF132 ZNF324 ZNF324B ZNF497 ZNF672 ZNF891 ZSCAN22"
2,86,0.2362,863.2,6.899e+04,0.01233,1.00000,"A1CF ACTA2 ADIRF AFAP1L2 AGAP5 AGAP6 AGAP9 ANK3 ANKRD22 ANXA7 ANXA8L1 AP3M1 CALHM3 CEP57L1 CFAP70 COL13A1 COMTD1 CXCL12 CYP17A1 CYP26A1 CYP26C1 CYP2C19 CYP2C8 CYP2C9 DDX50 DNAJB12 DUPD1 DUSP13 FAM25A FFAR4 GDF2 GPRIN2 GSTO1 GSTO2 HKDC1 IDE IFIT1 IFIT1B IFIT2 IFIT3 IFIT5 LDB3 LIPA LIPF LIPJ LIPK LIPM LIPN LRRC18 LRRC20 MORN4 MYOZ1 NUTM2A NUTM2B OPN4 OR13A1 PAPSS2 PDZD7 PLA2G12B PNLIPRP1 PPP3CB PSD PTPN20 RET SAMD8 SEMA4G SFTPA1 SFTPA2 SFXN2 SHLD2 SORCS1 SORCS3 SRGN SYNPO2L SYT15 TMEM72 UNC5B WASHC2C ZNF22 ZNF239 ZNF32 ZNF33B ZNF37A ZNF485 ZNF488 ZNF503"
3,50,0.2915,357.1,3.886e+04,0.009083,1.00000,"A2M APOLD1 C12orf60 C3AR1 CLEC12A CLEC12B CLEC1B CLEC2A CLEC2B CLEC4A CLEC4C CLEC4D CLEC4E CLEC6A CLEC7A CLEC9A GALNT8 GYS2 IAPP KCNA1 KCNA5 KCNA6 KLRC1 KLRC4 KLRF1 KLRG1 PIANP PKP2 PRB1 PRB4 PRH2 PZP RERG RERGL SLC2A3 SLCO1B1 SLCO1B3 SLCO1B7 SLCO1C1 STYK1 TAS2R10 TAS2R13 TAS2R14 TAS2R19 TAS2R20 TAS2R30 TAS2R50 TAS2R7 TAS2R8 TAS2R9"
4,22,0.4074,94.11,1.434e+04,0.006500,1.00000,"ADAT2 ALKBH8 CTU1 CTU2 DPH3 DUS2 EIF1 ELP5 ELP6 METTL1 MOCS3 NR2C2AP PDAP1 PPP1R15B PUS3 RNF25 SSB TRMT1 URM1 WDR4 XPOT ZPR1"
5,7,0.8653,18.17,4680,0.003856,0.999299,"AVEN DIS3L FOCAD HBS1L PELO SKIV2L TTC37"
6,101,0.2831,1430,7.740e+04,0.01809,1.00000,"ADORA2A AIFM3 APOBEC3A APOBEC3B APOBEC3C APOBEC3D APOBEC3F APOBEC3G APOL1 APOL2 APOL5 ARHGAP8 BCL2L13 C22orf15 C22orf23 C22orf31 C22orf46 CACNA1I CASTOR1 CBY1 CCDC116 CCDC157 CRYBA4 CRYBB1 CRYBB3 CYTH4 DGCR6 DGCR6L DMC1 DRICH1 EMID1 FOXRED2 GAL3ST1 GGT1 GGTLC2 GSTT2B GUCD1 HIC2 HMOX1 HORMAD2 HPS1 IGLL1 IGLL5 KLHL22 LRRC75B LZTR1 MGAT3 MICALL1 MIF MMP11 MPPE1 MPST MTFP1 NIPSNAP1 OSBP2 P2RX6 PNPLA5 RAC2 RASD2 RFPL2 RFPL3 RGL4 RIMBP3 RNF215 RSPH14 SDF2L1 SEC14L2 SEC14L3 SEC14L4 SEC14L6 SELENOM SEPT3 SEPT5 SERHL2 SGSM1 SIRPA SLC5A1 SLC5A4 SLC7A4 SPECC1L SULT4A1 SUSD2 SYNGR1 TANGO2 TBC1D10A TCN2 TEX33 THAP7 TNRC6B TOP3B TPST2 TRIOBP TSSK2 TST TUBA8 UPB1 USP18 VPREB1 YPEL1 ZDHHC8 ZNF74"
7,5,0.4384,4.384,4012,0.001089,0.996692,"A4GNT CASR IFT80 KATNAL2 MRPS12"
8,19,0.5355,91.57,1.256e+04,0.007215,1.00000,"AAAS AHCTF1 CDCA3 CLCC1 KPNA2 NDC1 NUP133 NUP153 NUP160 NUP188 NUP35 NUP37 NUP43 NUP50 NUP98 POM121 POM121C SENP2 TMEM201"
9,7,0.4249,8.924,5835,0.001523,0.999299,"AACS ADAMTS3 DISP1 FAM78B GNG4 SRRM5 TRAFD1"
10,24,0.3408,94.07,1.928e+04,0.004843,1.00000,"AADAC ARHGEF26 CPA3 CPB1 ERICH6 GPR171 GPR87 HTR3D HTR3E IGSF10 NPHP3 P2RY12 P2RY13 P2RY14 PLSCR1 PLSCR2 PQLC2L SCHIP1 SELENOT SERPINI1 SERPINI2 TFDP2 TM4SF18 TM4SF4"
