,module,gene,num positive,num negative,avg positive,avg negative
0,1,COMMD3,5,0,0.4146075165139805,0.0
1,1,COMMD7,5,0,0.35677509582871936,0.0
2,1,LZIC,5,0,0.21743485835219656,0.0
3,1,RAB21,5,0,0.3419649679480107,0.0
4,1,VPS26C,5,0,0.30772091091663356,0.0
5,1,VPS35L,5,0,0.3450642538991809,0.0
6,2,AAGAB,5,0,0.3597795395919885,0.0
7,2,AP2B1,5,0,0.31607889843971265,0.0
8,2,AP2M1,5,0,0.45921693522450224,0.0
9,2,AP2S1,5,0,0.4774462570989691,0.0
10,2,CCDC32,5,0,0.3516976444367244,0.0
11,2,FCHO2,5,0,0.3759063054888505,0.0
12,3,AARS2,7,0,0.6422572338829774,0.0
13,3,EARS2,7,0,0.7046161271781319,0.0
14,3,GATB,7,0,0.6063989929989809,0.0
15,3,KIAA0391,7,0,0.6723756912123616,0.0
16,3,LARS2,7,0,0.6920902437138926,0.0
17,3,MARS2,7,0,0.6789977920200904,0.0
18,3,POLG,7,0,0.6171456601168712,0.0
19,3,TWNK,7,0,0.6409469182614818,0.0
20,4,ABCC6,3,0,0.2640454240508188,0.0
21,4,NOMO2,3,0,0.21727085298141055,0.0
22,4,NPIPA5,3,0,0.23346444181844897,0.0
23,4,PKD1,3,0,0.2853382851461855,0.0
24,5,ABI1,4,0,0.3456241287490239,0.0
25,5,ACTR3,4,0,0.4539287635595173,0.0
26,5,ARPC2,4,0,0.4464702978509233,0.0
27,5,ARPC4,4,0,0.5067322057044299,0.0
28,5,NCKAP1,4,0,0.4544443048836476,0.0
29,6,ACAD9,30,0,0.5488908650239716,0.0
30,6,ECSIT,30,0,0.570689059922553,0.0
31,6,FOXRED1,30,0,0.6166623771908347,0.0
32,6,NDUFA10,30,0,0.6860382012997605,0.0
33,6,NDUFA11,30,0,0.6612905225144381,0.0
34,6,NDUFA2,30,0,0.6350966251484241,0.0
35,6,NDUFA6,30,0,0.6703063514361278,0.0
36,6,NDUFA8,30,0,0.7087507737360227,0.0
37,6,NDUFAF1,30,0,0.6285435792547873,0.0
38,6,NDUFAF3,30,0,0.6464371111170691,0.0
39,6,NDUFAF4,30,0,0.6336173890094545,0.0
40,6,NDUFAF7,30,0,0.6128122402103611,0.0
41,6,NDUFB10,30,0,0.7153467826257439,0.0
42,6,NDUFB2,30,0,0.6466060576828113,0.0
43,6,NDUFB3,30,0,0.6898878666947379,0.0
44,6,NDUFB4,30,0,0.6348645563282738,0.0
45,6,NDUFB5,30,0,0.6075383561067593,0.0
46,6,NDUFB6,30,0,0.6770173623706496,0.0
47,6,NDUFB7,30,0,0.594216192876711,0.0
48,6,NDUFB8,30,0,0.7003264356773147,0.0
49,6,NDUFB9,30,0,0.6687478736579043,0.0
50,6,NDUFC1,30,0,0.6863444295972505,0.0
51,6,NDUFC2,30,0,0.7141677389409872,0.0
52,6,NDUFS1,30,0,0.7065006041657846,0.0
53,6,NDUFS2,30,0,0.6952408764925483,0.0
54,6,NDUFS5,30,0,0.6956679667869753,0.0
55,6,NDUFS7,30,0,0.6159139551195151,0.0
56,6,NDUFS8,30,0,0.7125466674805121,0.0
57,6,NDUFV1,30,0,0.558000596683793,0.0
58,6,NDUFV2,30,0,0.690980508270581,0.0
59,6,TIMMDC1,30,0,0.6456174791361851,0.0
60,7,ACAT2,4,0,0.18976715125001836,0.0
61,7,FDFT1,4,0,0.37060171589474944,0.0
62,7,FDPS,4,0,0.2904593887342001,0.0
63,7,LSS,4,0,0.23955234135659415,0.0
64,7,SQLE,4,0,0.3457975781868335,0.0
65,8,ACBD5,14,0,0.3221922821682579,0.0
66,8,ACOX1,14,0,0.4980945288748921,0.0
67,8,HSD17B4,14,0,0.43008346593775626,0.0
68,8,PEX1,14,0,0.3920650442136037,0.0
69,8,PEX10,14,0,0.4379118376027201,0.0
70,8,PEX12,14,0,0.498639932630217,0.0
71,8,PEX13,14,0,0.4934229558215465,0.0
72,8,PEX16,14,0,0.30856598222947307,0.0
73,8,PEX19,14,0,0.4888091454339206,0.0
74,8,PEX2,14,0,0.508291376823887,0.0
75,8,PEX26,14,0,0.4497738048136616,0.0
76,8,PEX3,14,0,0.4933623620001094,0.0
77,8,PEX5,14,0,0.5134721413732453,0.0
78,8,PEX6,14,0,0.5624596812567821,0.0
79,8,SCP2,14,0,0.3016027532904043,0.0
80,9,ACTR2,7,0,0.407972950088217,0.0
81,9,ACTR3,7,0,0.3749415388112376,0.0
82,9,ARPC3,7,0,0.4416403113800863,0.0
