Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,251,0.1693,5313,1.929e+05,0.02673,1.00000,"A1BG ARHGAP33 ATP1A3 C19orf12 C19orf73 C5AR1 C5AR2 CABP5 CALM3 CATSPERG CBLC CCDC61 CEACAM21 CEACAM4 CEACAM5 CEACAM6 CEACAM7 CLC COX6B2 CRX CYP2A13 CYP2B6 CYP2S1 CYTH2 DKKL1 DPRX EID2 EID2B EML2 ERVV-1 ERVV-2 ETV2 FBXO27 FCAR FFAR2 FFAR3 FLT3LG FPR1 FPR2 FPR3 FUT1 FUT2 FUZ GAPDHS GP6 GPR32 GRAMD1A HKR1 IFNL1 IFNL2 IFNL3 IGFL1 IGFL2 IGFL3 IGFL4 ISOC2 KIR2DL1 KIR2DL3 KIR2DL4 KIR3DL1 KIR3DL2 KLK11 KLK2 KLK3 KLK4 KLK5 KLK6 KLK7 LAIR1 LAIR2 LGALS13 LGALS14 LGALS16 LGALS7B LILRA1 LILRA2 LILRA4 LILRA5 LILRB1 LILRB2 LILRB4 LILRB5 LIPE LYPD4 MAG MAP4K1 MSRB1 MYBPC2 NLRP11 NLRP12 NLRP13 NLRP4 NLRP5 NLRP7 NLRP9 NTF4 PEG3 PGLYRP1 PLEKHF1 PLEKHG2 PPFIA3 PRX PSG1 PSG11 PSG2 PSG3 PSG4 PSG5 PSG6 PSG8 PTPRH PVR RAB4B RASGRP4 RFPL4A RFPL4AL1 SERTAD1 SERTAD3 SHISA7 SIGLEC10 SIGLEC11 SIGLEC12 SIGLEC5 SIGLEC7 SIGLEC8 SIGLEC9 SLC17A7 SLC27A5 SLC7A9 SLC8A2 SMIM17 SPACA4 SPIB SULT2A1 SULT2B1 TPRX1 U2AF1L4 UPK1A VN1R1 VN1R4 VSIG10L WDR87 WDR88 ZBTB45 ZFP14 ZFP28 ZFP82 ZIM3 ZNF132 ZNF135 ZNF154 ZNF155 ZNF160 ZNF175 ZNF181 ZNF211 ZNF222 ZNF225 ZNF226 ZNF230 ZNF233 ZNF235 ZNF256 ZNF264 ZNF28 ZNF284 ZNF285 ZNF30 ZNF302 ZNF304 ZNF320 ZNF324 ZNF324B ZNF329 ZNF345 ZNF347 ZNF382 ZNF383 ZNF415 ZNF416 ZNF417 ZNF432 ZNF45 ZNF460 ZNF461 ZNF468 ZNF470 ZNF480 ZNF497 ZNF524 ZNF527 ZNF528 ZNF529 ZNF534 ZNF536 ZNF540 ZNF543 ZNF544 ZNF546 ZNF548 ZNF550 ZNF551 ZNF552 ZNF566 ZNF567 ZNF568 ZNF569 ZNF570 ZNF571 ZNF573 ZNF577 ZNF578 ZNF580 ZNF581 ZNF585B ZNF586 ZNF587 ZNF587B ZNF599 ZNF600 ZNF607 ZNF610 ZNF613 ZNF614 ZNF615 ZNF649 ZNF665 ZNF667 ZNF671 ZNF677 ZNF701 ZNF71 ZNF765 ZNF772 ZNF773 ZNF780B ZNF790 ZNF792 ZNF793 ZNF805 ZNF808 ZNF813 ZNF814 ZNF816 ZNF829 ZNF83 ZNF841 ZNF880 ZSCAN22 ZSCAN5A ZSCAN5B"
2,171,0.1552,2256,1.367e+05,0.01620,1.00000,"A1CF ACTA2 ADIRF ADRA2A ADRB1 AFAP1L2 AGAP5 AGAP6 AGAP9 AKR1C1 AKR1C3 AKR1C4 ANK3 ANKRD22 ANKRD30A ANTXRL ANXA7 ANXA8L1 AP3M1 ATOH7 BCL2A1 BLNK C10orf55 CALHM3 CALML3 CCNJ CEP57L1 CFAP43 CFAP58 CFAP70 CNNM2 COL13A1 COMTD1 COX20 CPLX3 CSGALNACT2 CTNNA3 CUTC CXCL12 CYP17A1 CYP26A1 CYP26C1 CYP2C18 CYP2C19 CYP2C8 CYP2C9 DDX50 DEPP1 DKK1 DNAJB12 DNTT DPCD DUPD1 DUSP13 DYDC1 DYDC2 EIF4EBP2 ELOVL3 EMX2 ERCC6 FAM171A1 FAM213A FAM25A FAM45A FBXL15 FFAR4 GDF2 GOLGA7B GPRIN2 GSTO1 GSTO2 HABP2 HKDC1 HOGA1 HSPA12A IDE IFIT1 IFIT1B IFIT2 IFIT3 IFIT5 ITIH2 ITPRIP KCNIP2 LCOR LDB3 LIPA LIPF LIPJ LIPK LIPM LIPN LRIT1 LRRC18 LRRC20 LRRTM3 MAT1A MCU MINPP1 MORN4 MYOZ1 NODAL NUDT13 NUTM2A NUTM2B OPN4 OR13A1 PALD1 PAPSS2 PAX2 PBLD PDZD7 PITX3 PKD2L1 PLA2G12B PNLIP PNLIPRP1 PNLIPRP3 POLL PPP3CB PSAP PSD PTPN20 RASGEF1A RBP3 RET RNLS RTKN2 SAMD8 SEMA4G SFRP5 SFTPA1 SFTPA2 SFXN2 SHLD2 SLC16A12 SLC16A9 SLC18A3 SLK SNCG SORCS1 SORCS3 SRGN STAMBPL1 SVIL SYNPO2L SYT15 TACR2 TBATA TECTB TLL2 TLX1 TMEM72 UBE2D1 UNC5B USP54 VTI1A VWA2 WASHC2C ZFYVE27 ZNF22 ZNF239 ZNF25 ZNF32 ZNF33A ZNF33B ZNF365 ZNF37A ZNF485 ZNF488 ZNF503"
3,103,0.1773,931.5,8.044e+04,0.01142,1.00000,"A2M A2ML1 ACRBP ANO2 APOLD1 B4GALNT3 BCL2L14 C12orf57 C12orf60 C12orf71 C1S C2CD5 C3AR1 CAPZA3 CASC1 CDKN1B CLEC12A CLEC12B CLEC1A CLEC1B CLEC2A CLEC2B CLEC4A CLEC4C CLEC4D CLEC4E CLEC6A CLEC7A CLEC9A CLSTN3 COPS7A EMP1 EPS8 ERC1 FAM234B GABARAPL1 GALNT8 GNB3 GPR162 GPR19 GPRC5A GPRC5D GRIN2B GYS2 HEBP1 HIST4H4 IAPP KCNA1 KCNA5 KCNA6 KCNJ8 KLRB1 KLRC1 KLRC2 KLRC4 KLRF1 KLRF2 KLRG1 LMO3 LPAR5 LRRC23 LTBR MANSC4 NECAP1 NRIP2 PARP11 PDE3A PIANP PKP2 PRB1 PRB2 PRB4 PRH2 PTPN6 PZP RERG RERGL SLC2A3 SLC6A12 SLC6A13 SLCO1B1 SLCO1B3 SLCO1B7 SLCO1C1 SOX5 SPX ST8SIA1 STYK1 TAS2R10 TAS2R13 TAS2R14 TAS2R19 TAS2R20 TAS2R30 TAS2R31 TAS2R43 TAS2R50 TAS2R7 TAS2R8 TAS2R9 TMEM52B TSPAN11 WNT5B"
4,7,0.8653,18.17,4680,0.003856,0.999299,"AVEN DIS3L FOCAD HBS1L PELO SKIV2L TTC37"
5,166,0.1927,2639,1.275e+05,0.02023,1.00000,"A4GALT ADORA2A AIFM3 ANKRD54 AP1B1 APOBEC3A APOBEC3B APOBEC3C APOBEC3D APOBEC3F APOBEC3G APOL1 APOL2 APOL3 APOL5 ARHGAP8 BCL2L13 C22orf15 C22orf23 C22orf31 C22orf46 CACNA1I CASTOR1 CBY1 CCDC116 CCDC157 CERK CHADL CHCHD10 CKLF CLDN5 COMT CRYBA4 CRYBB1 CRYBB2 CRYBB3 CSDC2 CSF2RB CSNK1E CYTH4 DERL3 DESI1 DGCR6 DGCR6L DMC1 DRICH1 EMID1 FAM19A5 FOXRED2 GAL3ST1 GGT1 GGTLC2 GP1BB GRAMD2A GSTT2B GUCD1 HIC2 HMOX1 HORMAD2 HPS1 IGLL1 IGLL5 IL17RA ISX JOSD1 KCTD17 KDELR3 KIAA0930 KLHL22 KREMEN1 LGALS2 LMF2 LRRC75B LZTR1 MAPK12 MB MCHR1 MEI1 MFNG MGAT3 MICALL1 MIF MMP11 MPPE1 MPST MTFP1 NCF4 NIPSNAP1 NPTXR OSBP2 P2RX6 PARVB PIWIL3 PKDREJ PLA2G3 PMM1 PNPLA3 PNPLA5 PRR5 PVALB RAC2 RASD2 RASL10A RFPL2 RFPL3 RGL4 RHBDD3 RIMBP3 RNF185 RNF215 RSPH14 SDF2L1 SEC14L2 SEC14L3 SEC14L4 SEC14L6 SELENOM SEPT3 SEPT5 SERHL2 SERPIND1 SGSM1 SH3BP1 SIRPA SLC16A8 SLC25A17 SLC5A1 SLC5A4 SLC7A4 SNAP29 SPECC1L SULT4A1 SUN2 SUSD2 SYNGR1 TAB1 TANGO2 TBC1D10A TCN2 TEX33 THAP7 TMEM121B TMEM184B TMPRSS6 TNRC6B TOP3B TPST2 TRIOBP TRMT2A TSSK2 TST TTC28 TTLL12 TUBA8 TXNRD2 UPB1 UPK3A UQCRFS1 USP18 VPREB1 WBP2NL YPEL1 ZDHHC8 ZNF280B ZNF74 ZNRF3"
6,128,0.3734,3035,8.876e+04,0.03297,1.00000,"AARS2 AURKAIP1 DAP3 DARS2 DDX28 EARS2 ERAL1 FARS2 GADD45GIP1 GATB GATC GFM1 GFM2 GTPBP10 GTPBP8 HARS2 KIAA0391 LARS2 LRPPRC MALSU1 MARS2 METTL17 MIPEP MRM2 MRM3 MRPL10 MRPL11 MRPL12 MRPL13 MRPL14 MRPL15 MRPL16 MRPL17 MRPL18 MRPL19 MRPL2 MRPL20 MRPL21 MRPL22 MRPL23 MRPL27 MRPL28 MRPL3 MRPL30 MRPL32 MRPL33 MRPL34 MRPL35 MRPL36 MRPL37 MRPL38 MRPL39 MRPL4 MRPL40 MRPL41 MRPL42 MRPL43 MRPL44 MRPL45 MRPL46 MRPL47 MRPL48 MRPL49 MRPL50 MRPL51 MRPL53 MRPL54 MRPL55 MRPL57 MRPL58 MRPL9 MRPS10 MRPS11 MRPS12 MRPS14 MRPS16 MRPS17 MRPS18A MRPS18B MRPS18C MRPS2 MRPS21 MRPS22 MRPS23 MRPS24 MRPS25 MRPS26 MRPS27 MRPS28 MRPS30 MRPS31 MRPS33 MRPS34 MRPS35 MRPS5 MRPS6 MRPS7 MRPS9 MTERF3 MTERF4 MTG1 MTG2 MTPAP NARS2 NGRN NSUN4 PNPT1 POLG POLG2 POLRMT PTCD1 PTCD3 QRSL1 RARS2 RPUSD4 SARS2 SLC25A26 SSBP1 SUPV3L1 TARS2 TFAM TFB1M TFB2M TRMT10C TRUB2 TWNK VARS2 WARS2"
7,19,0.5355,91.57,1.256e+04,0.007215,1.00000,"AAAS AHCTF1 CDCA3 CLCC1 KPNA2 NDC1 NUP133 NUP153 NUP160 NUP188 NUP35 NUP37 NUP43 NUP50 NUP98 POM121 POM121C SENP2 TMEM201"
8,22,0.2000,46.21,1.823e+04,0.002522,1.00000,"AACS ABCB9 ABI2 ADAMTS3 BSDC1 CATSPER3 CDC42EP4 COL8A2 DISP1 DNASE2 DYM FAM78B FBXO10 GNG4 LAMA5 NFATC1 PIK3C2B PLAU PLD2 SCD5 SRRM5 TRAFD1"
9,73,0.1690,444.1,5.823e+04,0.007550,1.00000,"AADAC AADACL2 ARHGEF26 ATP13A4 ATP13A5 C3orf80 CCDC80 CD200R1L CLDN11 CPA3 CPB1 DVL3 EHHADH ERICH6 FAM131A GHSR GK5 GPR160 GPR171 GPR87 HRASLS HRG HTR3C HTR3D HTR3E IGSF10 IQCG KLHL24 KLHL6 LRRIQ4 MAGEF1 MB21D2 METTL15 MFSD1 MLF1 MUC20 MUC4 NPHP3 P2RY12 P2RY13 P2RY14 PAQR9 PDCD6 PLD1 PLSCR1 PLSCR2 PLSCR4 PLSCR5 PQLC2L PRR23C PXYLP1 RHO ROPN1 RTP1 RTP2 SCHIP1 SELENOT SERP1 SERPINI1 SERPINI2 SLC2A2 SLC51A SLC7A14 SOX14 TCTEX1D2 TFDP2 TM4SF1 TM4SF18 TM4SF19 TM4SF4 TRIM59 VEPH1 WDR5B"
10,167,0.1294,1793,1.343e+05,0.01314,1.00000,"AADACL3 ADPRHL2 AGO1 AGO3 AGO4 AKR1A1 AKR7A3 ARMH1 ATAD3B ATAD3C ATG4C AZIN2 BEST4 BMP8B BSDC1 BSND C1QA C1QB C1QC C1orf123 C1orf127 C1orf141 C1orf216 C1orf50 C1orf52 C8A CCDC28B CCDC30 CD101 CELA3A CFAP57 CHMP5 CLCA4 CLCNKA CLCNKB COL8A2 COL9A2 CORT CPT2 CTH CTRC CYP4A11 CYP4A22 CYP4X1 CYP4Z1 CYR61 DCDC2B DIRAS3 DMRTB1 EPS15 ERMAP EVA1B EXO5 EXTL1 FAAH FABP3 FAM131C FAM167B FAM183A FAM229A FAM69A FBLN5 FNDC5 FOXE3 FST GAPT GBP5 GBP6 GJA4 GJB3 GJB4 GJB5 GKN2 GPX7 GUCA2B HIVEP3 HMGCS2 HPCA HPCAL4 HTR6 IFI44 IFI44L IFI6 INPP5B INSL5 KCNA10 KDF1 KIAA0319L KLF17 KNCN LAPTM5 LCK LEXM LURAP1 MARCKSL1 MCOLN3 MFSD2A MGST1 MMP23B MPL MROH7 MTFR1L MUTYH MYOM3 NBL1 NCMAP NIPAL3 NKAIN1 PCSK9 PDZK1IP1 PEF1 PLA2G12A PLA2G2D PLA2G2E PLA2G5 PLK2 PPT1 PQLC2 PTCH2 RAB3B RAB3C RIMS3 RPL3L RPS6KA1 RSPO1 RWDD3 SAMD13 SFN SH3D21 SHISAL2A SLC2A5 SLC35E2B SLC5A9 SLFNL1 SNX15 ST3GAL3 STPG1 TAS1R2 TCTEX1D1 TCTEX1D4 TEKT2 TESK2 TFAP2E TIE1 TMEM39B TMEM53 TMEM56 TMEM61 TSPAN1 TSSK3 TTC22 TXLNA UBE2D4 WDTC1 ZBTB8A ZBTB8B ZFP69 ZFP69B ZMYM4 ZNF248 ZNF606 ZNF683 ZNF684 ZNF691 ZSCAN20 ZYG11A ZYG11B"
